"campagne";"npp";"xl93";"yl93"
2015;"15-58-211-1-114T";769769;6694686
2015;"15-63-225-1-180T";744223;6483365
2015;"15-64-151-1-286T";414247;6240786
2015;"15-66-247-1-282T";704631;6155220
2015;"15-71-241-1-136T";837224;6598069
2015;"15-72-119-1-132T";476960;6733966
2015;"15-77-186-1-081T";729308;6818942
2015;"15-78-148-1-085T";611367;6846094
2015;"15-84-285-1-212T";889827;6325268
2015;"15-85-081-1-176T";317955;6640988
2015;"15-86-134-1-161T";492077;6631593
2015;"15-87-168-1-179T";575226;6543310
2015;"15-88-246-1-077T";912216;6768064
2016;"16-08-194-1-033T";798282;6955021
2016;"16-11-222-1-261T";647352;6244904
2016;"16-12-206-1-229T";632204;6358032
2016;"16-14-101-1-084T";467637;6899163
2016;"16-17-141-1-218T";450441;6457744
2016;"16-18-179-1-140T";644010;6650593
2016;"16-19-185-1-196T";603971;6478497
2016;"16-24-153-1-206T";498834;6479636
2016;"16-24-158-1-199T";520203;6495428
2016;"16-24-174-1-207T";560083;6456817
2016;"16-24-176-1-213T";560030;6436566
2016;"16-25-264-1-105T";933688;6667870
2016;"16-25-267-1-096T";951759;6693364
2016;"16-30-252-1-215T";784108;6351638
2016;"16-30-265-1-232T";805456;6288676
2016;"16-38-261-1-160T";867999;6506637
2016;"16-39-254-1-123T";885066;6624266
2016;"16-41-139-1-120T";544515;6751127
2016;"16-43-233-1-196T";747898;6427705
2016;"16-52-224-1-069T";851061;6818064
2016;"16-52-241-1-090T";880225;6737653
2016;"16-58-207-1-136T";731890;6635188
2016;"16-58-215-1-130T";761606;6644949
2016;"16-63-226-1-169T";754582;6515757
2016;"16-71-227-1-148T";779289;6577232
2016;"16-73-281-1-156T";931784;6499428
2016;"16-77-169-1-086T";669365;6823663
2016;"16-89-187-1-102T";706439;6755994
2016;"16-89-198-1-107T";733949;6731222
2017;"17-01-273-1-129T";941179;6587312
2017;"17-04-302-1-192T";962738;6367772
2017;"17-07-255-1-189T";825543;6425103
2017;"17-08-205-1-031T";837839;6950018
2017;"17-13-270-1-230T";828319;6288738
2017;"17-16-143-1-189T";490510;6541212
2017;"17-17-114-1-204T";388481;6525951
2017;"17-17-130-1-197T";443772;6529335
2017;"17-19-185-1-201T";603987;6462217
2017;"17-19-197-1-189T";652035;6484466
2017;"17-24-159-1-231T";495372;6399176
2017;"17-25-261-1-107T";927515;6665678
2017;"17-25-273-1-099T";971821;6677092
2017;"17-26-264-1-190T";851324;6414462
2017;"17-28-146-1-112T";578448;6768512
2017;"17-31-201-1-267T";584282;6248673
2017;"17-33-147-1-238T";452320;6390622
2017;"17-36-174-1-158T";615747;6600590
2017;"17-40-130-1-280T";358758;6282441
2017;"17-40-145-1-271T";412822;6294223
2017;"17-48-224-1-214T";707166;6382016
2017;"17-51-210-1-052T";831198;6880880
2017;"17-56-048-1-158T";238747;6729737
2017;"17-57-244-1-038T";947459;6889231
2017;"17-58-215-1-119T";777775;6675261
2017;"17-60-164-1-049T";697499;6936612
2017;"17-62-140-1-029T";645935;7021213
2017;"17-62-142-1-019T";662479;7049184
2017;"17-71-226-1-136T";793329;6614550
2017;"17-71-237-1-141T";821248;6587065
2017;"17-72-123-1-117T";505041;6775355
2017;"17-72-124-1-131T";493197;6732441
2017;"17-81-200-1-243T";606217;6321504
2017;"17-84-274-1-208T";862750;6350438
2017;"17-85-113-1-177T";413406;6606165
2017;"17-86-146-1-160T";529391;6623351
2017;"17-87-167-1-193T";558861;6504542
2017;"17-88-255-1-067T";950337;6790957
2017;"17-88-268-1-060T";996747;6798769
2018;"18-07-252-1-205T";799246;6381442
2018;"18-08-208-1-033T";844426;6940381
2018;"18-11-216-1-273T";621934;6216631
2018;"18-11-223-1-268T";648000;6222866
2018;"18-11-224-1-261T";657985;6242911
2018;"18-14-085-1-088T";419763;6903509
2018;"18-15-201-1-202T";649830;6444203
2018;"18-16-133-1-206T";443083;6501537
2018;"18-16-147-1-198T";492874;6509704
2018;"18-16-151-1-196T";506628;6511718
2018;"18-17-122-1-199T";417101;6532474
2018;"18-19-172-1-197T";568329;6488653
2018;"18-19-182-1-207T";587763;6446873
2018;"18-19-184-1-195T";606556;6480713
2018;"18-19-187-1-206T";603724;6444818
2018;"18-21-219-1-092T";816554;6752935
2018;"18-24-161-1-230T";501551;6399913
2018;"18-24-170-1-219T";540048;6423698
2018;"18-24-171-1-222T";539623;6413582
2018;"18-25-264-1-099T";944084;6687479
2018;"18-26-278-1-193T";888955;6392102
2018;"18-28-131-1-106T";539058;6802635
2018;"18-29-014-1-127T";167760;6858292
2018;"18-29-015-1-136T";161302;6831551
2018;"18-2A-359-1-245T";1206389;6108068
2018;"18-31-192-1-275T";548240;6235153
2018;"18-31-204-1-265T";594276;6252857
2018;"18-32-161-1-266T";464555;6292275
2018;"18-33-138-1-223T";439761;6444140
2018;"18-33-150-1-237T";461339;6391643
2018;"18-36-155-1-156T";559469;6628530
2018;"18-36-157-1-158T";563704;6620770
2018;"18-38-268-1-165T";888411;6484350
2018;"18-38-279-1-176T";909423;6441779
2018;"18-40-135-1-275T";378330;6293199
2018;"18-40-139-1-274T";390878;6292520
2018;"18-41-165-1-124T";622355;6714237
2018;"18-43-232-1-193T";752180;6439057
2018;"18-47-158-1-249T";473565;6346314
2018;"18-47-168-1-245T";507021;6349480
2018;"18-53-099-1-120T";429342;6793428
2018;"18-54-236-1-047T";912984;6869787
2018;"18-60-169-1-058T";702071;6907321
2018;"18-62-139-1-032T";638591;7014355
2018;"18-64-144-1-283T";396637;6260481
2018;"18-68-275-1-072T";1004712;6755426
2018;"18-68-287-1-074T";1038421;6738370
2018;"18-71-218-1-135T";769108;6626727
2018;"18-72-116-1-117T";483175;6783644
2018;"18-73-274-1-155T";915906;6509562
2018;"18-77-171-1-070T";695632;6869476
2018;"18-79-120-1-182T";428204;6585449
2018;"18-80-130-1-039T";604336;7004017
2018;"18-81-203-1-236T";620750;6338810
2018;"18-82-181-1-242T";549521;6343557
2018;"18-82-182-1-247T";547216;6327519
2018;"18-84-286-1-221T";884244;6298855
2018;"18-86-135-1-174T";481665;6593993
2018;"18-86-150-1-179T";521138;6565035
2018;"18-87-166-1-191T";556891;6512731
2018;"18-88-249-1-074T";924279;6776013
2019;"19-01-252-1-154T";850974;6536003
2019;"19-09-212-1-284T";597467;6188658
2019;"19-12-230-1-234T";702611;6319471
2019;"19-13-274-1-234T";833891;6274607
2019;"19-15-210-1-206T";671811;6422292
2019;"19-16-146-1-194T";492394;6525250
2019;"19-17-105-1-199T";365369;6552321
2019;"19-18-174-1-122T";650575;6710124
2019;"19-19-194-1-186T";644203;6498624
2019;"19-21-232-1-096T";850540;6730148
2019;"19-23-184-1-180T";620620;6528313
2019;"19-23-194-1-182T";648727;6510619
2019;"19-25-277-1-101T";979500;6667336
2019;"19-26-280-1-206T";880765;6352333
2019;"19-29-027-1-141T";191513;6805302
2019;"19-2A-347-1-237T";1180496;6145577
2019;"19-31-190-1-278T";537887;6227650
2019;"19-33-116-1-218T";378954;6484092
