sl|npp|disti|xi|yi|repi|flpi
2|25-50-070-1-090T|14|376117|6911849|1|B
1|25-50-070-1-090T|9|376113|6911852|1|B
1|25-50-074-1-100T|9|377357|6877961|1|H
1|25-50-076-1-088T|17|396520|6912082|1|H
1|25-50-079-1-110T|-12|382210|6842709|1|B
1|25-50-080-1-109T|-26|386493|6845281|1|0
1|25-50-089-1-107T|10|415769|6841972|1|0
1|25-51-210-1-054T|3|831131|6876413|1|B
1|25-51-213-1-061T|-30|833790|6852415|1|H
1|25-51-214-1-060T|-19|837126|6854292|1|H
1|25-53-098-1-135T|-27|413663|6748609|1|B
1|25-53-102-1-116T|-7|444937|6802014|1|C
1|25-53-104-1-123T|-29|443922|6778697|1|C
1|25-53-107-1-119T|30|456691|6788121|1|B
1|25-55-216-1-030T|-7|874304|6941940|1|B
1|25-55-230-1-042T|-1|903670|6892140|1|0
1|25-55-230-1-051T|-24|894411|6864907|1|C
1|25-56-043-1-147T|14|236986|6769209|1|H
1|25-56-050-1-143T|30|262239|6773980|1|0
1|25-56-059-1-153T|-9|278481|6735220|1|C
1|25-56-063-1-138T|-21|306332|6776000|1|B
2|25-58-196-1-128T|-12|714012|6669594|1|0
1|25-58-196-1-128T|-19|714010|6669600|1|0
2|25-58-197-1-132T|15|713223|6656451|1|0
1|25-58-197-1-132T|8|713217|6656456|1|0
2|25-58-208-1-114T|20|764128|6698678|1|H
1|25-58-208-1-114T|8|764119|6698671|1|H
1|25-59-163-1-031T|13|714893|6993799|1|B
1|25-59-174-1-019T|-6|759410|7018438|1|H
1|25-60-150-1-061T|26|644998|6916868|1|H
1|25-60-157-1-050T|-23|677123|6942506|1|H
1|25-61-091-1-102T|-16|426927|6854467|1|C
1|25-61-105-1-101T|17|469032|6843774|1|H
1|25-61-115-1-099T|24|501236|6839326|1|H
2|25-61-118-1-098T|-19|511632|6838698|1|H
1|25-61-118-1-098T|-29|511624|6838692|1|H
1|25-62-126-1-012T|14|623359|7087817|1|H
1|25-62-127-1-014T|14|624330|7080578|1|0
1|25-62-134-1-021T|-21|637702|7053028|1|B
1|25-62-134-1-029T|21|629676|7029197|1|C
2|25-62-143-1-024T|-9|662143|7034336|1|H
1|25-62-143-1-024T|20|662164|7034355|1|B
1|25-62-145-1-022T|-14|669880|7039165|1|C
1|25-63-201-1-169T|-3|687025|6541755|1|H
1|25-63-201-1-177T|-23|678189|6517652|1|H
2|25-63-207-1-166T|-7|708054|6544622|1|A
1|25-63-207-1-166T|30|708088|6544637|1|C
1|25-65-162-1-276T|29|460546|6261598|1|C
1|25-65-164-1-283T|7|459121|6239367|1|B
1|25-66-237-1-282T|10|678376|6167749|1|H
4|25-67-268-1-033T|22|1026827|6879919|1|B
3|25-67-268-1-033T|13|1026819|6879921|1|H
2|25-67-268-1-033T|-9|1026797|6879926|1|C
1|25-68-277-1-065T|26|1020831|6774835|1|B
2|25-69-240-1-157T|12|815170|6537796|1|C
1|25-69-248-1-157T|1|840019|6529665|1|B
2|25-70-248-1-090T|30|908384|6730323|1|C
1|25-70-248-1-090T|-10|908369|6730285|1|C
1|25-71-224-1-128T|-21|797225|6641285|1|C
1|25-71-224-1-143T|18|781965|6596513|1|B
1|25-71-226-1-125T|14|807069|6647382|1|B
1|25-71-237-1-135T|28|829292|6606932|1|0
1|25-72-119-1-115T|-29|497318|6786788|1|H
1|25-72-124-1-114T|-11|513075|6785583|1|B
1|25-72-129-1-120T|-18|521999|6762416|1|H
2|25-74-276-1-134T|4|946980|6569363|1|0
1|25-74-276-1-134T|23|946991|6569348|1|B
1|25-76-108-1-061T|29|519898|6959560|1|0
1|25-76-120-1-066T|10|550478|6932957|1|C
1|25-77-162-1-069T|-13|672261|6880638|1|B
1|25-77-179-1-083T|-5|709391|6821264|1|B
1|25-78-146-1-081T|0|612113|6861059|1|0
2|25-78-148-1-080T|26|619150|6862366|1|0
1|25-78-148-1-080T|-11|619144|6862403|1|0
2|25-79-113-1-170T|-24|422423|6629430|1|B
1|25-79-113-1-170T|19|422439|6629389|1|H
