npp|nppg|occ|auteurpi|datepi|note|cso|dbpi|pbpi|uspi|ufpi|tfpi|phpi|blpi|efpi|dupi|evof
25-25-275-1-099C|25584-F8050-3-5T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-26-263-1-182C|26576-F6060-7-2T|1|138|2024-04-03||6A||2||0|||0|||
25-27-110-1-077C|27542-F1020-0-4T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-27-111-1-077C|27542-F1050-0-5T|1|106|2024-05-14||6A||2||0|||0|||
25-27-115-1-074C|27542-F3000-0-0T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-27-120-1-088C|27542-F3010-4-7T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-27-128-1-074C|27542-F6090-1-3T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-27-129-1-070C|27542-F7060-0-2T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-27-136-1-080C|27542-F8070-3-9T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-28-131-1-098C|28542-F5040-8-8T|1|106|2024-05-14||9||2|||||0|||
25-29-021-1-130C|29502-F9020-7-4T|1|106|2024-05-14||6A||2||0|||0|||
25-29-025-1-127C|29512-F0070-6-9T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-29-033-1-146C|29513-F1020-3-4T|1|106|2024-05-14||1|1|1|X||2|0|0||0|
25-2A-360-1-248C|2A510-F2101-1-0T|1|138|2024-04-03||4L|0|2|X|0|2||0||0|
25-2A-360-1-251C|2A510-F1171-1-9T|1|138|2024-04-03||1|0|2|X||2|0|0||0|
25-2A-366-1-259C|2A510-F2171-4-9T|1|138|2024-04-03||4L|0|2|X|0|2||0||0|
