campagne;idp;dep;csa;utip;bois;tform;gest;dist;iti;pentexp;portance;asperite;pro_psg;u_ex_ap_uicn;expl;st_x;st_y;visite;passage
2018;1302047;72;1;X;1;2;2;NULL;0;0;2;0;2;0;0;478560.9853552169;6733473.854027949;1;1
2018;1302084;24;1;X;1;2;2;NULL;0;0;1;0;2;0;0;551806.9167295961;6409135.6961281765;1;1
2018;1302102;36;1;X;1;2;1;NULL;0;0;1;0;2;0;0;607372.2861052104;6602501.333993722;1;1
2018;1302105;19;1;X;1;2;2;NULL;0;0;1;0;1;1;0;624452.7576506368;6494450.083850576;1;1
2018;1302109;88;1;X;1;2;1;NULL;0;0;1;0;2;0;0;982874.330877661;6811150.137205917;1;1
2018;1302113;70;1;X;1;2;2;NULL;0;0;2;0;4;0;0;906431.8926933032;6753848.988750957;1;1
2018;1302145;30;1;X;1;2;0;1;1;1;1;0;2;1;2;795081.6972983329;6351144.343084844;1;1
2018;1302164;29;1;X;1;2;2;NULL;0;0;2;0;3;0;0;211045.13798554346;6769634.552415943;1;1
2018;1302180;18;1;X;1;2;2;1;1;0;1;0;1;0;1;697630.0241089406;6641711.47107066;1;1
2018;1302183;15;1;X;1;2;0;NULL;0;3;1;0;2;0;3;647960.3127901872;6438304.151366864;1;1
2018;1302187;25;1;X;1;2;2;NULL;0;0;1;0;4;0;0;945969.8031136846;6703544.8065965045;1;1
2018;1302188;45;1;X;1;2;2;NULL;0;0;1;0;1;2;0;624430.0629891512;6730261.487831195;1;1
2018;1302192;40;1;X;1;2;2;2;1;0;2;0;3;3;1;351357.6629921119;6330867.905606861;1;1
2018;1302205;55;1;X;1;2;2;NULL;0;0;1;0;2;0;0;845351.5810932011;6856305.707460475;1;1
2018;1302239;76;1;X;1;2;0;2;1;1;1;0;2;0;2;582598.0690839933;6986455.763582902;1;1
2018;1302247;13;3;X;1;2;0;1;1;1;1;0;2;2;2;872177.778663335;6254586.4274261985;1;1
2018;1302264;10;1;X;1;2;2;NULL;0;0;1;0;1;0;0;744929.3363597026;6799198.033340639;1;1
2018;1302266;46;1;X;1;2;0;2;1;3;2;0;2;0;3;563428.5412792293;6365081.6309818085;1;1
2018;1302270;33;1;X;1;2;1;NULL;0;0;1;0;2;0;0;380605.0301953391;6486479.239449387;1;1
2018;1302274;9;1;X;1;2;1;2;1;4;NULL;NULL;4;1;3;585919.8021702918;6187081.007259493;1;1
2018;1302311;3;1;X;1;2;2;2;1;1;1;0;1;0;2;673196.3923078026;6587960.642614859;1;1
2018;1302323;2A;1;X;1;2;0;2;1;1;1;2;4;2;3;1212500.7084362276;6105799.355153534;1;1
2018;1302326;60;1;X;1;2;2;1;1;0;1;0;1;0;1;639861.2672334324;6902022.069589566;1;1
