"dir";"type_point";"npp";"nph";"type_res";"nom_site"
DIRNE;nouveau;"25-57-267-1-028T";"252671028";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-267-1-030T";"252671030";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-267-1-032T";"252671032";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-267-1-046T";"252671046";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-267-1-048T";"252671048";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-268-1-029T";"252681029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-268-1-045T";"252681045";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-269-1-028T";"252691028";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-269-1-030T";"252691030";réserve naturelle nationale;Rochers Et Tourbières Du Pays De Bitche
DIRNE;nouveau;"25-57-269-1-030T";"252691030";réserve biosphère;Vosges du Nord (zone centrale)
DIRNE;nouveau;"25-57-269-1-032T";"252691032";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-270-1-029T";"252701029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-58-190-1-125T";"251901125";réserve naturelle nationale;Val de Loire
DIRNE;nouveau;"25-58-198-1-125T";"251981125";réserve naturelle régionale;Mardelles de Prémery
DIRNE;nouveau;"25-62-133-1-012T";"251331012";réserve biosphère;Marais Audomarois (zone de transition)
DIRNE;nouveau;"25-67-263-1-036T";"252631036";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-265-1-034T";"252651034";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-265-1-036T";"252651036";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-266-1-037T";"252661037";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-267-1-036T";"252671036";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-267-1-038T";"252671038";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-267-1-038T";"252671038";réserve nationale de chasse et faune sauvage;La Petite Pierre
DIRNE;nouveau;"25-67-268-1-037T";"252681037";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-269-1-034T";"252691034";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-269-1-038T";"252691038";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-271-1-028T";"252711028";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-272-1-029T";"252721029";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-273-1-028T";"252731028";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-274-1-027T";"252741027";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-274-1-029T";"252741029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-274-1-031T";"252741031";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-275-1-028T";"252751028";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-67-276-1-029T";"252761029";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-67-278-1-055T";"252781055";réserve naturelle régionale;Ried de Selestat (Ill*Wald)
DIRNE;nouveau;"25-67-281-1-044T";"252811044";réserve naturelle nationale;Ile Du Rohrschollen
DIRNE;nouveau;"25-90-269-1-076T";"252691076";réserve naturelle nationale;Ballon Comtois
DIRNE;visite2;"20-21-233-1-103T";"202331103";réserve naturelle régionale;Val Suzon
DIRNE;visite2;"20-21-235-1-103T";"202351103";réserve naturelle régionale;Val Suzon
DIRNE;visite2;"20-52-217-1-067T";"202171067";réserve nationale de chasse et faune sauvage;Le Der Chantecoq et les étangs d'Outines et d'Arrigny
DIRNE;visite2;"20-55-233-1-043T";"202331043";réserve naturelle régionale;Grand Étang de Lachaussée
DIRNE;visite2;"20-57-253-1-043T";"202531043";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-255-1-041T";"202551041";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-258-1-044T";"202581044";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-259-1-039T";"202591039";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-260-1-042T";"202601042";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-260-1-044T";"202601044";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-261-1-039T";"202611039";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-261-1-043T";"202611043";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-263-1-043T";"202631043";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-265-1-045T";"202651045";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-265-1-047T";"202651047";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-267-1-025T";"202671025";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-267-1-029T";"202671029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-267-1-031T";"202671031";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;visite2;"20-57-267-1-033T";"202671033";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-267-1-041T";"202671041";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-267-1-043T";"202671043";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-267-1-045T";"202671045";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-267-1-047T";"202671047";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-268-1-026T";"202681026";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-268-1-028T";"202681028";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-268-1-030T";"202681030";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-268-1-042T";"202681042";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-268-1-044T";"202681044";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-268-1-046T";"202681046";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-268-1-048T";"202681048";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-269-1-027T";"202691027";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-269-1-029T";"202691029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-269-1-031T";"202691031";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-269-1-043T";"202691043";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-269-1-045T";"202691045";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-269-1-047T";"202691047";réserve biosphère;Moselle sud (zone tampon)
DIRNE;visite2;"20-57-270-1-028T";"202701028";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-271-1-027T";"202711027";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-271-1-029T";"202711029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-271-1-031T";"202711031";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-57-272-1-028T";"202721028";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-58-200-1-124T";"202001124";réserve naturelle régionale;Mardelles de Prémery
DIRNE;visite2;"20-67-265-1-033T";"202651033";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-267-1-035T";"202671035";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-267-1-037T";"202671037";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;visite2;"20-67-268-1-034T";"202681034";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;visite2;"20-67-268-1-038T";"202681038";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-269-1-033T";"202691033";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-269-1-037T";"202691037";réserve nationale de chasse et faune sauvage;La Petite Pierre
DIRNE;visite2;"20-67-269-1-037T";"202691037";réserve biosphère;Vosges du Nord (zone centrale)
DIRNE;visite2;"20-67-270-1-032T";"202701032";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-270-1-036T";"202701036";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-271-1-033T";"202711033";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;visite2;"20-67-273-1-027T";"202731027";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;visite2;"20-67-273-1-029T";"202731029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-273-1-031T";"202731031";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-274-1-028T";"202741028";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;visite2;"20-67-275-1-027T";"202751027";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;visite2;"20-67-275-1-029T";"202751029";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-276-1-026T";"202761026";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-276-1-030T";"202761030";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-277-1-027T";"202771027";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;visite2;"20-67-285-1-027T";"202851027";réserve naturelle nationale;Delta De La Sauer
DIRNO;nouveau;"25-14-082-1-087T";"250821087";réserve naturelle nationale;Forêt Domaniale De Cerisy
