"npp","a","pds.ana","pds.syn","w.ana","w.syn","wac.ana","wac.syn"
"18-65-173-1-282T",11,1.12864296568351,1.12863472511618,99.7884828607781,99.7877542745587,88.4145703245896,88.4145703245896
"18-65-173-1-282T",12,1.07467460611915,1.07466713813774,95.0116141905614,95.0109539488797,88.4096578160208,88.4096578160208
"18-65-173-1-282T",13,1,1,88.4136257867244,88.4136257867244,88.4136257867244,88.4136257867244
"18-65-173-1-282T",14,1,1,88.4133958759251,88.4133958759251,88.4133958759251,88.4133958759251
"18-65-173-1-282T",15,1,1,88.4150110619201,88.4150110619201,88.4150110619201,88.4150110619201
"18-66-226-1-277T",1,1,1,88.4156480704279,88.4156480704279,88.4156480704279,88.4156480704279
"18-66-226-1-277T",2,1,1,88.4158592681458,88.4158592681458,88.4158592681458,88.4158592681458
"18-66-226-1-277T",3,1,1,88.4112157638991,88.4112157638991,88.4112157638991,88.4112157638991
"18-66-226-1-277T",4,1,1,88.4100961407569,88.4100961407569,88.4100961407569,88.4100961407569
"18-66-226-1-277T",5,1,1,88.4145355510055,88.4145355510055,88.4145355510055,88.4145355510055
"18-66-226-1-277T",6,1,1,88.4143952128121,88.4143952128121,88.4143952128121,88.4143952128121
"18-66-226-1-277T",7,1,1,88.415077001828,88.415077001828,88.415077001828,88.415077001828
