npp,id,id_massif,surf_ilot_bdforet_ha
23-63-216-1-169T,48450.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,43.689999999999998
23-63-218-1-171T,46515.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,469.939999999999998
23-63-219-1-162T,46362.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,462.079999999999984
23-63-219-1-164T,46389.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,226.849999999999994
23-63-219-1-166T,47677.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,120.019999999999996
23-63-220-1-163T,47034.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,466.699999999999989
23-63-220-1-165T,46970.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,892.360000000000014
23-63-221-1-164T,46321.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,853.049999999999955
23-63-221-1-166T,46208.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,247.680000000000007
23-63-222-1-163T,46927.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,2786.630000000000109
23-63-222-1-167T,47514.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,873.570000000000050
23-63-223-1-164T,46927.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000101,2786.630000000000109
23-07-247-1-198T,177997.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,166.340000000000003
23-15-213-1-194T,147558.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1228.140000000000100
23-15-215-1-190T,153557.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,699.350000000000023
23-15-215-1-192T,146686.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1029.730000000000018
23-15-216-1-189T,153557.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,699.350000000000023
23-15-216-1-203T,150879.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-009605,17.300000000000001
23-15-218-1-199T,151622.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-009581,0.890000000000000
23-15-219-1-192T,148672.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1164.009999999999991
23-15-219-1-196T,146994.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-002969,51.850000000000001
23-15-220-1-191T,148685.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,826.799999999999955
23-15-220-1-201T,147893.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,288.170000000000016
23-15-221-1-198T,146645.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,229.710000000000008
23-15-221-1-200T,147154.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,435.769999999999982
23-15-223-1-194T,149096.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,4.930000000000000
23-15-224-1-197T,150274.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,4004.889999999999873
23-15-224-1-199T,153635.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,414.100000000000023
23-15-225-1-198T,149852.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,3.500000000000000
23-42-230-1-171T,83380.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2327.329999999999927
23-42-234-1-179T,83659.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,420.750000000000000
23-42-235-1-178T,86519.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,445.759999999999991
23-42-236-1-179T,84084.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,477.550000000000011
23-42-237-1-178T,83972.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,902.690000000000055
23-42-239-1-178T,86216.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,344.139999999999986
23-43-221-1-188T,83301.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,209.979999999999990
23-43-221-1-190T,80010.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1107.740000000000009
23-43-223-1-184T,75523.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,629.080000000000041
23-43-223-1-192T,77224.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1121.380000000000109
23-43-224-1-191T,77224.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1121.380000000000109
23-43-224-1-193T,79993.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1194.049999999999955
23-43-225-1-192T,79993.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1194.049999999999955
23-43-225-1-196T,77837.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2206.969999999999800
23-43-226-1-187T,80345.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,906.990000000000009
23-43-226-1-191T,75598.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,539.019999999999982
23-43-227-1-184T,74834.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,877.659999999999968
