9384;NA;NA;40
9376;3;0;32.5
2170;6;100;10
2178;6.7;100;12.25
2183;6.325;NA;15.5
2186;6.875;NA;NA
2187;4.825;50;19.25
9375;3;0;30.25
9387;3.875;21;40
2214;4.275;NA;NA
2223;8.5;100;10
2221;5.625;59;10
2241;8.075;100;10
2249;6.55;96;10
9388;NA;NA;17
2288;5.225;50;17.5
2289;5.175;43;NA
2312;8.5;100;NA
2313;8.5;100;NA
2337;6.9;100;NA
2358;7.175;100;12.25
2357;8.075;100;40
2359;NA;NA;12
2375;6.325;100;10
2378;6.825;100;10
2383;6.35;100;NA
2384;8.5;100;NA
2385;8.5;NA;NA
2387;7.3;100;NA
2390;7.825;100;NA
2391;5.85;NA;NA
2406;5.725;78;15
2413;7.95;100;11.5
2422;6.95;100;12.5
1103;8.5;100;40
9371;3;0;30.75
2472;7.225;100;11.25
2484;7.325;100;10
2487;6.925;100;10
2527;4.85;39;16.25
2560;8.5;100;NA
2568;7.025;99;10.5
2583;6.85;100;NA
2586;7.075;100;14.5
2589;6.275;100;20
2590;4.625;50;22.5
2593;7.425;100;10
2599;7.925;100;NA
2607;5.225;NA;NA
2609;6.7;100;10
2620;5.425;52;NA
2622;5.425;57;22.5
2621;5.125;NA;18.5
2619;3;3;20
5024;5;50;NA
2625;5.9;81;NA
2628;5.425;64;13
2629;3;24;22.25
2649;5.9;75;10
2653;5.425;NA;NA
2654;6.6;100;10
2657;6.1;89;10
2661;6.825;91;10
2666;3;0;24.75
3291;6.425;NA;11.75
2742;3;0;28.75
2743;NA;NA;40
2741;6.65;100;17.25
2747;7.8;100;10
2750;6.175;86;10.75
2762;8.2;100;10
2763;6.725;100;12.75
2774;7.575;100;10
2781;5;NA;22.25
2789;5.65;67;10
9377;3;0;NA
2817;6.85;94;NA
2819;5.5;70;10
2822;3;0;31.25
2841;6.55;83;13.25
2847;6.125;100;12
2849;6.075;82;12.5
2867;NA;NA;12.5
2883;6.925;100;10
3016;7.125;100;11.5
3025;8.5;100;10.5
3399;3;NA;18.75
3036;7.975;100;10.75
3042;6.775;100;11.5
3287;7.1;100;40
3080;4.325;NA;NA
3083;3.575;NA;13.25
3127;6.85;100;10
3170;6.4;NA;15.5
3184;4.7;54;20
3198;7.675;100;10
3217;8.5;100;NA
3218;8.025;100;NA
0425;8.075;100;10
3248;8.5;100;13
3251;6.5;100;10
3256;3;0;22.75
3266;8.5;100;NA
3277;8.5;100;NA
4795;4.9;72;24.25
3279;4.675;41;40
3281;3;0;38.5
3278;8.5;0;40
9392;5.05;NA;11.25
9393;6.25;100;10
9394;3;NA;NA
3321;8.5;100;NA
3322;7.575;NA;NA
9378;3;0;34.5
3334;5.45;67;10
3342;6;100;10
3344;7.85;97;10
3347;6.2;100;10
3358;8.5;NA;10.5
3359;8.225;100;35.75
3369;6.55;84;10
3368;8.5;100;NA
3370;6.525;100;10
3393;8.5;100;NA
0449;6.85;100;10
0451;6.975;100;NA
