OBJECTID,DEP,DEPB,CYCCARTE,TFIFN,FAO2,NUM_DEP,ZPOPCODE,CODE_ONF,FREQUENCY,SUM_Shape_Area
5913,45,45,3,AFA,1,45,2,2O,1,14350.370264867812000
5914,45,45,3,AFJ,1,45,1,,1,969041.570387834680000
5915,45,45,3,AFJ,1,45,1,1O,1,149019.876281483040000
5916,45,45,3,AFJ,1,45,2,,1,291065.921875000000000
5917,45,45,3,CNA,1,45,1,,3,33566536.224490426000000
5918,45,45,3,CNA,1,45,1,1O,2,24117104.615876798000000
5919,45,45,3,CNA,1,45,1,2M,1,17601.593072871532000
5920,45,45,3,CNA,1,45,1,2O,1,171454.289259611480000
5921,45,45,3,CNA,1,45,2,,1,8503094.426401587200000
5922,45,45,3,CNA,1,45,2,1O,1,1605579.606287823500000
5923,45,45,3,CNJ,1,45,1,,3,11213218.159746589000000
5924,45,45,3,CNJ,1,45,1,1O,1,3540661.748696286200000
5925,45,45,3,CNJ,1,45,2,,2,2214817.660442673600000
5926,45,45,3,CNJ,1,45,2,1O,1,340253.869912881990000
5927,45,45,3,CPA,1,45,1,,3,9805074.398593135200000
5928,45,45,3,CPA,1,45,1,1O,1,8802746.946379711900000
5929,45,45,3,CPA,1,45,1,2O,1,70930.623567039642000
5930,45,45,3,CPA,1,45,2,,1,3781552.821066595100000
5931,45,45,3,CPA,1,45,2,1O,1,12900.085230985022000
5932,45,45,3,CPA,1,45,2,2M,1,645.065893056222310
5933,45,45,3,CPJ,1,45,1,,1,677333.335995121860000
5934,45,45,3,CPJ,1,45,1,1O,1,1134599.512681737800000
5935,45,45,3,CPJ,1,45,2,,1,115226.875000000000000
5936,45,45,3,CRA,1,45,1,,1,2787308.470030773400000
5937,45,45,3,CRA,1,45,1,1O,1,3325557.964910520700000
5938,45,45,3,CRA,1,45,2,,1,715494.524026898670000
5939,45,45,3,CRA,1,45,2,1O,1,265505.369435929810000
5940,45,45,3,CRA,1,45,2,2O,1,51.584545820865515
5941,45,45,3,CRJ,1,45,1,,1,327033.414062500000000
