"","npp","ser_86","esspre","sver","vh","hm"
"46","20-67-272-1-050T","D11","15","4",181.775391205971,23.8
"47","20-67-272-1-054T","D11","62","6",550.536864297261,22.9
"48","20-67-273-1-027T","D11","52","4",294.960017450292,35.2
"49","20-67-273-1-029T","D11","09","6",140.664435572519,28
"50","20-67-273-1-031T","D11","64","6",325.441215160786,22.6
"51","20-67-273-1-049T","D11","61","6",425.501538418541,32.1
"52","20-67-273-1-051T","D11","09","2",30.7022384452863,9.5
"53","20-67-273-1-053T","D11","17","5",360.785382499682,17.2
"54","20-67-274-1-028T","D11","62","4",325.742669349882,44.9
"55","20-67-274-1-048T","D11","09","5",416.304378325806,32.7
"56","20-67-274-1-052T","D11","17","5",102.958005507658,20.7
"57","20-67-275-1-027T","D11","09","6",158.324139127818,25.2
"58","20-67-275-1-049T","D11","03","6",312.42971429439,24.6
"59","20-67-275-1-051T","D11","09","4",101.07935430228,22.6
"60","20-67-276-1-026T","D11","52","6",281.416427632548,28.8
"61","20-67-276-1-050T","D11","64","6",431.536454292858,28.2
"62","20-67-276-1-052T","D11","15","5",114.347832833748,17.7
"63","20-67-276-1-054T","D11","52","5",575.08043245257,28.3
"64","20-67-277-1-053T","D11","03","6",247.112090031919,22.3
"65","20-67-277-1-055T","D11","09","4",46.587649040966,13.5
"66","20-68-272-1-070T","D11","61","6",285.421852010923,32
"67","20-68-272-1-074T","D11","61","6",426.747115341778,35.3
"68","20-68-273-1-059T","D11","61","5",738.093993636932,27.1
"69","20-68-273-1-061T","D11","62","5",250.39991913915,24.3
"70","20-68-273-1-065T","D11","62","4",9.60486218767205,7.6
"71","20-68-273-1-067T","D11","61","4",50.0642712455684,19.4
"72","20-68-273-1-073T","D11","62","6",444.150825482855,29.7
"73","20-68-274-1-056T","D11","03","5",255.784040911236,25.7
"74","20-68-274-1-068T","D11","62","6",360.146208225706,25.6
"75","20-68-274-1-072T","D11","09","5",394.773578903836,32.1
"76","20-68-275-1-055T","D11","09","5",443.524092094106,31
"77","20-68-275-1-059T","D11","62","5",419.383159791074,31.8
"78","20-68-275-1-061T","D11","52","6",355.396574537108,19.9
"79","20-68-275-1-063T","D11","62","6",784.904702637742,29.4
"80","20-68-275-1-065T","D11","61","6",421.008985182908,20.5
"81","20-68-275-1-067T","D11","12","4",22.6405519928994,17.8
"82","20-68-275-1-069T","D11","09","5",373.638892047615,29.6
"83","20-68-275-1-073T","D11","09","5",362.464671103721,24.3
"84","20-68-275-1-075T","D11","09","5",396.071555348873,37.4
"85","20-68-276-1-056T","D11","52","5",479.342429315382,32.4
"86","20-68-276-1-058T","D11","09","6",314.506470163581,31.4
"87","20-68-276-1-060T","D11","14","5",37.5423057945689,18.8
"88","20-68-276-1-062T","D11","03","5",306.660294756152,23.4
"89","20-68-276-1-066T","D11","62","6",443.269778746234,22.3
"90","20-68-276-1-068T","D11","61","6",636.174094709738,34.1
"91","20-68-276-1-072T","D11","61","4",238.731569856014,42.6
"92","20-68-276-1-074T","D11","03","5",559.661922843113,25.6
"93","20-68-277-1-061T","D11","10","5",170.913659219446,29.5
"94","20-68-277-1-063T","D11","03","4",49.1118224686192,14.8
"95","20-68-277-1-065T","D11","15","6",258.331241830406,29.5
"96","20-68-277-1-067T","D11","03","5",104.853713156646,15.6
"97","20-68-277-1-069T","D11","13","6",34.8911233018898,24.6
"98","20-68-277-1-071T","D11","17","6",229.273389400386,26.6
"99","20-68-278-1-068T","D11","52","5",390.649133729566,23.9
"100","20-70-264-1-074T","D11","62","4",122.243060732174,27.3
"101","20-70-264-1-076T","D11","61","4",1.08362091790251,5.8
"102","20-70-268-1-074T","D11","62","5",568.448874771492,33.5
"103","20-70-268-1-076T","D11","61","4",216.366033517098,26.9
"104","20-70-269-1-075T","D11","17","4",182.986681264847,25.3
"105","20-70-270-1-076T","D11","09","5",496.904357923068,33.9
"106","20-88-262-1-056T","D11","09","5",84.7320215570099,12.2
"107","20-88-263-1-057T","D11","52","4",81.4461004207471,12.7
"108","20-88-263-1-059T","D11","61","5",228.461984847703,27.9
"109","20-88-263-1-069T","D11","61","5",530.513328171953,37.9
"110","20-88-264-1-058T","D11","52","6",553.116169436586,24.5
"111","20-88-264-1-062T","D11","61","6",577.330203423581,28.2
"112","20-88-264-1-068T","D11","62","6",279.598728446531,27.6
"113","20-88-265-1-057T","D11","02","5",54.7043994227154,13.4
"114","20-88-265-1-059T","D11","61","6",358.901669978351,20.3
"115","20-88-265-1-061T","D11","61","5",296.806872437316,23.3
"116","20-88-265-1-065T","D11","62","6",848.362032109358,37.7
"117","20-88-265-1-067T","D11","61","4",307.306922392069,27
"118","20-88-265-1-071T","D11","03","5",224.048542556531,22.3
"119","20-88-266-1-052T","D11","61","6",591.296283600818,24.8
"120","20-88-266-1-056T","D11","61","4",84.0252167034362,16.9
"121","20-88-266-1-060T","D11","62","4",689.874944149853,33.2
"122","20-88-267-1-051T","D11","61","6",759.106351458614,34.1
"123","20-88-267-1-053T","D11","61","5",758.430749988908,41
"124","20-88-267-1-055T","D11","62","4",41.7441958204647,9.8
"125","20-88-267-1-057T","D11","61","4",542.191508713165,39.8
"126","20-88-267-1-059T","D11","61","4",191.190896647932,16.5
"127","20-88-267-1-061T","D11","61","4",104.305813880454,27
"128","20-88-267-1-065T","D11","61","4",748.208675219962,38.4
"129","20-88-267-1-067T","D11","61","6",280.040138188654,24.8
"130","20-88-267-1-069T","D11","62","6",367.139275566611,31.6
"131","20-88-267-1-071T","D11","61","6",323.129962437115,19.6
"132","20-88-267-1-073T","D11","09","4",188.926807406803,25.1
"133","20-88-268-1-050T","D11","61","4",144.282405934485,17.1
"134","20-88-268-1-052T","D11","61","5",458.599098572312,33.7
"135","20-88-268-1-054T","D11","61","5",229.996602078808,21.7
"136","20-88-268-1-056T","D11","61","5",239.688168335689,22.8
"137","20-88-268-1-060T","D11","61","4",79.6078036626924,15.4
"138","20-88-268-1-064T","D11","61","5",846.461077013349,38.8
"139","20-88-268-1-066T","D11","61","4",270.610206016944,32.9
"140","20-88-268-1-068T","D11","62","6",445.644930850915,30.3
"141","20-88-269-1-053T","D11","15","4",71.0741826592307,14.6
"142","20-88-269-1-055T","D11","15","4",136.095006267573,22.5
"143","20-88-269-1-057T","D11","52","4",218.966933331664,24.5
"144","20-88-269-1-059T","D11","25","4",27.924549435201,14.3
"145","20-88-269-1-063T","D11","15","4",187.63614779337,27.6
"146","20-88-269-1-067T","D11","09","5",331.607337251961,41.7
"147","20-88-269-1-069T","D11","02","4",158.582508507888,20.5
"148","20-88-269-1-071T","D11","02","4",198.183304045031,26
"149","20-88-270-1-060T","D11","61","6",719.77429150625,40.8
"150","20-88-270-1-064T","D11","61","4",215.981648415733,35.4
"151","20-88-271-1-057T","D11","61","5",714.773760957135,36.4
"152","20-88-271-1-063T","D11","09","4",318.110478368922,27.3
"153","20-88-271-1-065T","D11","09","6",293.590436812308,25.2
"154","20-88-271-1-069T","D11","61","5",496.844318093158,29.4
"155","20-88-271-1-073T","D11","61","6",444.675985816112,31.7
"156","20-88-272-1-056T","D11","09","5",162.872223300486,25.7
"157","20-88-272-1-058T","D11","62","6",687.529242049546,31.1
"158","20-88-272-1-060T","D11","09","4",110.554868158672,24.7
"159","20-88-272-1-066T","D11","09","5",261.083134611292,17.7
"160","20-88-272-1-072T","D11","09","4",53.3248760761875,14.3
"161","20-90-271-1-077T","D11","09","5",172.78017880965,31.1
"162","20-90-272-1-076T","D11","61","5",427.887891865724,31.2
"163","20-90-273-1-075T","D11","09","5",456.966822772096,24.5
"164","20-90-274-1-076T","D11","62","6",317.694484966926,28
"165","21-54-260-1-055T","D11","61","4",71.2473938682597,13.1
"166","21-54-261-1-053T","D11","19","5",133.421024767679,23.8
"167","21-54-261-1-054T","D11","61","4",207.208287008682,31.3
"168","21-54-262-1-053T","D11","12","5",96.6146160204259,23.9
"169","21-54-263-1-048T","D11","61","6",494.110725208053,32.3
"170","21-54-263-1-050T","D11","61","6",157.015733006516,23.5
"171","21-54-263-1-052T","D11","52","5",289.838377662517,35.5
"172","21-54-263-1-054T","D11","61","6",131.703262303333,14
"173","21-54-264-1-049T","D11","64","6",128.281352108868,21.7
"174","21-54-264-1-051T","D11","61","6",249.187589808017,27.5
"175","21-54-265-1-050T","D11","61","4",197.278270474085,30.7
"176","21-57-265-1-032T","D11","62","6",167.318284514952,20.3
"177","21-57-265-1-044T","D11","64","6",108.61839053051,15.7
"178","21-57-265-1-046T","D11","09","5",301.632400881199,27.8
"179","21-57-265-1-048T","D11","61","6",636.820208037571,38.1
"180","21-57-266-1-045T","D11","09","6",298.539999566999,37.3
"181","21-57-267-1-026T","D11","09","5",650.468368738963,33.9
"182","21-57-267-1-028T","D11","03","6",206.515856183194,26.7
"183","21-57-267-1-030T","D11","09","4",53.8717361832518,25.9
