"","npp","ser_86","esspre","sver","vh","hm"
"90","20-45-159-1-113T","B70","18","6",133.375348557629,18.1
"91","20-45-159-1-115T","B70","02","5",225.45826750152,25.7
"92","20-45-159-1-117T","B70","02","5",149.877544531594,22.6
"93","20-45-159-1-119T","B70","02","6",28.2076936344385,12.6
"94","20-45-160-1-108T","B70","11","6",323.77301023767,24
"95","20-45-160-1-114T","B70","03","6",141.338100555678,24.7
"96","20-45-160-1-116T","B70","52","6",77.5130161138472,23
"97","20-45-160-1-120T","B70","02","6",22.4498314942729,18
"98","20-45-161-1-115T","B70","07","5",30.1971230152245,18.7
"99","20-45-161-1-119T","B70","02","5",234.177570649188,23.7
"100","20-45-163-1-105T","B70","52","5",231.514514687252,31
"101","20-45-163-1-115T","B70","52","3",4.61645936078949,5.2
"102","20-45-164-1-108T","B70","14","5",103.928316863838,18.9
"103","20-45-164-1-114T","B70","02","5",228.833831083173,23.8
"104","20-45-164-1-118T","B70","12","6",83.1411429017385,19
"105","20-45-165-1-103T","B70","24","5",348.303744023881,36.1
"106","20-45-165-1-105T","B70","02","5",129.336864136211,29.4
"107","20-45-165-1-107T","B70","52","5",188.461639727607,26
"108","20-45-165-1-117T","B70","12","5",55.147277892905,23.4
"109","20-45-166-1-116T","B70","52","5",297.09866604345,22.7
"110","20-45-167-1-103T","B70","02","5",234.136603293414,27
"111","20-45-167-1-105T","B70","02","6",200.319884009843,29.1
"112","20-45-167-1-107T","B70","52","6",318.573974372414,25.4
"113","20-45-167-1-109T","B70","02","5",127.334843858272,23.7
"114","20-45-167-1-113T","B70","53","6",193.799173903606,15.2
"115","20-45-167-1-117T","B70","12","5",183.325254518515,22.5
"116","20-45-168-1-106T","B70","03","5",293.548310837916,31
"117","20-45-168-1-114T","B70","12","6",101.258960974694,19.5
"118","20-45-168-1-116T","B70","12","6",16.8457433640228,9.2
"119","20-45-169-1-105T","B70","03","5",361.480944072906,35.5
"120","20-45-169-1-107T","B70","02","5",75.9317547375038,14.5
"121","20-45-169-1-113T","B70","02","4",11.7808045843808,13.3
"122","20-45-170-1-108T","B70","52","6",210.56385888798,24
"123","20-45-171-1-107T","B70","53","6",135.969519178568,16.1
"124","20-45-171-1-113T","B70","02","5",89.6001831908696,22.7
"125","20-45-171-1-115T","B70","02","3",2.06707661141559,6.9
"126","20-45-171-1-117T","B70","04","6",22.7446907071923,8.5
"127","20-45-172-1-108T","B70","52","6",145.210752182338,14.7
"128","20-45-172-1-114T","B70","24","6",173.60088671661,16.4
"129","20-45-173-1-109T","B70","03","6",162.069830881613,25.2
"130","20-45-173-1-111T","B70","02","5",102.927507997703,20.4
"131","20-45-173-1-113T","B70","02","5",67.2335542444798,26.4
"132","20-45-173-1-115T","B70","02","6",33.6192286084737,11.1
"133","20-45-174-1-116T","B70","02","5",262.656078407365,25.3
"134","20-45-175-1-109T","B70","53","5",83.8638391687572,19
"135","20-45-175-1-111T","B70","03","5",74.2111154381169,15
"136","20-45-175-1-117T","B70","03","4",66.9236865682652,23.8
"137","20-45-176-1-108T","B70","53","5",155.641751730944,19.3
"138","20-45-176-1-110T","B70","03","6",278.250725317543,28.3
"139","20-45-177-1-103T","B70","03","5",122.140433676339,28.3
"140","20-45-177-1-107T","B70","02","5",179.646672099199,16.9
"141","20-45-177-1-109T","B70","12","6",40.5119748902087,10.5
"142","20-45-177-1-111T","B70","03","6",197.687417409483,28.3
"143","20-45-177-1-115T","B70","10","6",305.716341916177,28.3
"144","20-45-178-1-108T","B70","02","6",17.787441968889,15.8
"145","20-45-179-1-109T","B70","12","5",51.0302127334275,17.4
"146","20-45-180-1-108T","B70","03","5",299.109413744179,24.7
"147","21-18-167-1-132T","B70","02","6",207.480588417205,20.9
"148","21-18-168-1-121T","B70","12","6",42.8024550656378,12.7
"149","21-18-169-1-120T","B70","52","6",105.899427340495,21.4
"150","21-18-169-1-132T","B70","03","6",164.379471159928,30.7
"151","21-18-170-1-121T","B70","53","5",102.301905908967,22.8
"152","21-18-171-1-118T","B70","12","5",116.789659075008,20.8
"153","21-18-171-1-122T","B70","52","6",147.84804589546,20.2
"154","21-18-171-1-126T","B70","52","6",230.665430314993,26.6
"155","21-18-171-1-128T","B70","02","6",37.4876945358592,17.8
"156","21-18-171-1-130T","B70","03","6",299.336764064392,32
"157","21-18-171-1-132T","B70","02","3",5.2462856229529,8.4
"158","21-18-172-1-123T","B70","53","6",253.556602681219,23.8
"159","21-18-172-1-125T","B70","52","6",150.802053426317,27.2
"160","21-18-172-1-127T","B70","02","6",169.888198939875,19.4
"161","21-18-173-1-120T","B70","02","5",126.081556893381,24
"162","21-18-173-1-124T","B70","52","5",175.414259839818,29.3
"163","21-18-173-1-126T","B70","12","6",9.88270300618384,19.9
"164","21-18-173-1-130T","B70","02","5",112.522984047709,23.1
"165","21-18-173-1-132T","B70","02","5",27.3400424699095,15.8
"166","21-18-174-1-121T","B70","12","6",218.829207413065,23.9
"167","21-18-174-1-125T","B70","02","6",178.503985431998,17.2
"168","21-18-174-1-129T","B70","51","6",461.1830681678,28.5
"169","21-18-175-1-124T","B70","03","6",423.568113920056,26.6
"170","21-18-175-1-128T","B70","02","4",29.2277023426558,15.7
"171","21-18-175-1-130T","B70","64","6",299.007232779011,35
"172","21-18-175-1-132T","B70","12","6",151.781702685,23
"173","21-18-176-1-125T","B70","02","4",106.417818632495,30.3
"174","21-41-152-1-129T","B70","17","5",35.3009087926098,11.8
"175","21-41-152-1-131T","B70","02","5",228.524353992148,24.5
"176","21-41-153-1-124T","B70","24","5",87.4632573313578,22.6
"177","21-41-153-1-128T","B70","20","5",448.619496851185,34.9
"178","21-41-154-1-125T","B70","03","6",656.846328230001,34.2
"179","21-41-154-1-129T","B70","03","6",198.013837068336,25.7
"180","21-41-155-1-124T","B70","52","6",120.048474749048,21.1
"181","21-41-155-1-126T","B70","52","5",17.5367612307513,14.7
"182","21-41-155-1-130T","B70","03","5",171.845706173172,21.9
"183","21-41-155-1-132T","B70","10","5",224.746167899323,22.5
"184","21-41-156-1-119T","B70","02","5",90.9184487845063,22.4
"185","21-41-156-1-123T","B70","03","6",118.092876166834,16.4
"186","21-41-157-1-122T","B70","02","5",268.165562388446,28
"187","21-41-157-1-124T","B70","02","6",383.615085500404,28.5
"188","21-41-157-1-126T","B70","11","6",121.232927899966,20.9
"189","21-41-157-1-128T","B70","02","5",211.66658154192,23.7
"190","21-41-157-1-130T","B70","03","5",190.801986814947,23.1
"191","21-41-157-1-132T","B70","24","5",184.230946254972,24.5
"192","21-41-158-1-121T","B70","53","6",247.856930447229,24
"193","21-41-158-1-125T","B70","02","4",36.6176623980932,15.1
"194","21-41-158-1-129T","B70","10","6",398.136202008709,26.5
"195","21-41-158-1-133T","B70","52","5",47.9345151029019,11.2
"196","21-41-159-1-122T","B70","02","5",322.018233389633,27.5
"197","21-41-159-1-126T","B70","02","5",88.0897317663753,22.1
"198","21-41-159-1-130T","B70","12","5",162.556234853872,27
"199","21-41-160-1-119T","B70","12","6",139.379861961062,20.1
"200","21-41-160-1-123T","B70","02","5",58.4469786585184,14.7
"201","21-41-160-1-125T","B70","53","6",121.8099689081,17.6
"202","21-41-160-1-127T","B70","02","6",159.437185258835,18.8
